"Job ID","Job Title","Average Salary (Yearly)","Posted Date","Company Name","Required Skills"
1131472,"Data Scientist","375000.0","2023-07-31 14:05:21","Algo Capital Group","sql"
1131472,"Data Scientist","375000.0","2023-07-31 14:05:21","Algo Capital Group","python"
1131472,"Data Scientist","375000.0","2023-07-31 14:05:21","Algo Capital Group","java"
1131472,"Data Scientist","375000.0","2023-07-31 14:05:21","Algo Capital Group","cassandra"
1131472,"Data Scientist","375000.0","2023-07-31 14:05:21","Algo Capital Group","spark"
1131472,"Data Scientist","375000.0","2023-07-31 14:05:21","Algo Capital Group","hadoop"
1131472,"Data Scientist","375000.0","2023-07-31 14:05:21","Algo Capital Group","tableau"
158782,"Data Scientist","275000.0","2023-07-04 10:41:31","Algo Capital Group","sql"
158782,"Data Scientist","275000.0","2023-07-04 10:41:31","Algo Capital Group","python"
158782,"Data Scientist","275000.0","2023-07-04 10:41:31","Algo Capital Group","java"
158782,"Data Scientist","275000.0","2023-07-04 10:41:31","Algo Capital Group","cassandra"
158782,"Data Scientist","275000.0","2023-07-04 10:41:31","Algo Capital Group","aws"
158782,"Data Scientist","275000.0","2023-07-04 10:41:31","Algo Capital Group","spark"
158782,"Data Scientist","275000.0","2023-07-04 10:41:31","Algo Capital Group","airflow"
158782,"Data Scientist","275000.0","2023-07-04 10:41:31","Algo Capital Group","hadoop"
158782,"Data Scientist","275000.0","2023-07-04 10:41:31","Algo Capital Group","tableau"
1489914,"Data Scientist","250000.0","2023-10-04 16:03:51","Smith Hanley Associates","sql"
1489914,"Data Scientist","250000.0","2023-10-04 16:03:51","Smith Hanley Associates","python"
1489914,"Data Scientist","250000.0","2023-10-04 16:03:51","Smith Hanley Associates","javascript"
1489914,"Data Scientist","250000.0","2023-10-04 16:03:51","Smith Hanley Associates","html"
1489914,"Data Scientist","250000.0","2023-10-04 16:03:51","Smith Hanley Associates","mongodb"
1489914,"Data Scientist","250000.0","2023-10-04 16:03:51","Smith Hanley Associates","vba"
1489914,"Data Scientist","250000.0","2023-10-04 16:03:51","Smith Hanley Associates","php"
1489914,"Data Scientist","250000.0","2023-10-04 16:03:51","Smith Hanley Associates","mongodb"
1489914,"Data Scientist","250000.0","2023-10-04 16:03:51","Smith Hanley Associates","aws"
1489914,"Data Scientist","250000.0","2023-10-04 16:03:51","Smith Hanley Associates","tensorflow"
1489914,"Data Scientist","250000.0","2023-10-04 16:03:51","Smith Hanley Associates","scikit-learn"
1489914,"Data Scientist","250000.0","2023-10-04 16:03:51","Smith Hanley Associates","excel"
1489914,"Data Scientist","250000.0","2023-10-04 16:03:51","Smith Hanley Associates","tableau"
1489914,"Data Scientist","250000.0","2023-10-04 16:03:51","Smith Hanley Associates","powerpoint"
1538418,"Data Scientist","204500.0","2023-01-23 01:04:11","Grammarly","sql"
1538418,"Data Scientist","204500.0","2023-01-23 01:04:11","Grammarly","python"
1538418,"Data Scientist","204500.0","2023-01-23 01:04:11","Grammarly","scala"
1538418,"Data Scientist","204500.0","2023-01-23 01:04:11","Grammarly","r"
727817,"Data Scientist","197500.0","2023-11-01 23:02:27","Cisco","sql"
727817,"Data Scientist","197500.0","2023-11-01 23:02:27","Cisco","python"
727817,"Data Scientist","197500.0","2023-11-01 23:02:27","Cisco","r"
727817,"Data Scientist","197500.0","2023-11-01 23:02:27","Cisco","snowflake"
727817,"Data Scientist","197500.0","2023-11-01 23:02:27","Cisco","sheets"
448423,"Data Scientist","195000.0","2023-06-28 16:01:32","Storm2","python"
1693772,"Data Scientist","190600.0","2023-01-22 00:07:05","Tomorrow.io","python"
1693772,"Data Scientist","190600.0","2023-01-22 00:07:05","Tomorrow.io","aws"
37309,"Data Scientist","186000.0","2023-01-10 12:20:43","Grammarly","sql"
37309,"Data Scientist","186000.0","2023-01-10 12:20:43","Grammarly","python"
37309,"Data Scientist","186000.0","2023-01-10 12:20:43","Grammarly","scala"
37309,"Data Scientist","186000.0","2023-01-10 12:20:43","Grammarly","r"
64405,"Data Scientist","185000.0","2023-09-21 17:28:44","Mineral.ai","sql"
64405,"Data Scientist","185000.0","2023-09-21 17:28:44","Mineral.ai","python"
64405,"Data Scientist","185000.0","2023-09-21 17:28:44","Mineral.ai","databricks"
64405,"Data Scientist","185000.0","2023-09-21 17:28:44","Mineral.ai","spark"
910502,"Data Scientist","185000.0","2023-11-14 15:02:53","Brookwood Search & Selection","sql"
910502,"Data Scientist","185000.0","2023-11-14 15:02:53","Brookwood Search & Selection","python"
